Mentzelia_obscura,Mentzelia_desertorum,Mentzelia_eremophila,,
Mentzelia_veatchiana,Mentzelia_pectinata,Mentzelia_montana,,*M. montana is 4x
Nicotiana_clevelandii,Nicotiana_obtusifolia,Nicotiana_attenuata,,
Nicotiana_quadrivalvis,Nicotiana_obtusifolia,Nicotiana_attenuata,,
Nicotiana_tabacum,Nicotiana_sylvestris,Nicotiana_tomentosiformis,,
Nicotiana_rustica,Nicotiana_paniculata,Nicotiana_undulata,,
Nicotiana_repanda,Nicotiana_sylvestris,Nicotiana_obtusifolia,,
Nicotiana_stocktonii,Nicotiana_sylvestris,Nicotiana_obtusifolia,,
Nicotiana_amplexicaulis,Nicotiana_sylvestris,NA,,
Nicotiana_cavicola,Nicotiana_sylvestris,NA,,
Nicotiana_excelsior,Nicotiana_sylvestris,NA,,
Nicotiana_fragrans,Nicotiana_sylvestris,NA,,
Nicotiana_goodspeedii,Nicotiana_sylvestris,NA,,
Nicotiana_maritima,Nicotiana_sylvestris,NA,,
Nicotiana_megalosiphon,Nicotiana_sylvestris,NA,,
Nicotiana_occidentalis,Nicotiana_sylvestris,NA,,
Nicotiana_rotundifolia,Nicotiana_sylvestris,NA,,
Nicotiana_suaveolens,Nicotiana_sylvestris,NA,,
Nicotiana_velutina,Nicotiana_sylvestris,NA,,
Nicotiana_benthamiana,Nicotiana_sylvestris,NA,,
Paspalum_urvillei,Paspalum_juergensii,,,
Paeonia_russoi,Paeonia_lactiflora,Paeonia_mairei,,
Persicaria_minor,Persicaria_hydropiperoides,Persicaria_hydropiper,,*P. hydropiperoides is 4x
Persicaria_nodosa,Persicaria_viscofera,NA,,
Persicaria_punctata,Persicaria_hydropiper,Persicaria_hirsuta,,
Persicaria_japonica,Persicaria_hydropiper,NA,,
Persicaria_kawagoeana,Persicaria_foliosa,Persicaria_hirsuta,,
Persicaria_posumbu,Persicaria_foliosa,NA,,
Plantago_raoulii,Plantago_debilis,NA,,
Plantago_rugelii,Plantago_depressa,Plantago_asiatica,,*Plantago asiatic is 4x
Poa_annua,Poa_supina,Poa_infirma,,
Polypodium_hesperium,Polypodium_amorphum,Polypodium_glycyrrhiza,,
Polypodium_saximontanum,Polypodium_amorphum,Polypodium_sibiricum,,
Polypodium_calirhiza,Polypodium_californicum,Polypodium_glycyrrhiza,,
Polystichum_californicum,Polystichum_imbricans,NA,,
Polystichum_scopulinum,Polystichum_lemmonii,Polystichum_imbricans,,
Primula_egaliksensis,Primula_nutans,Primula_mistassinica,,
Primula_laurentiana,Primula_incana,Primula_mistassinica,,*Primula incana is 6x
Primula_stricta,Primula_scandinavica,Primula_scotica,,*P. scandinavica is 8x and P. scotica is 6x
Silene_involucrata,Silene_uralensis,NA,,
Silene_sorensenis,Silene_involucrata,NA,,* S. involucrata is 4x
Solanum_stoloniferum,Solanum_verrucosum,Solanum_cardiophyllum,,
Solanum_demissum,Solanum_acaule,NA,,*S. acaule is 4x
Solanum_iopetalum,Solanum_leptophyes,NA,,
Spartina_anglica,Spartina_maritima,Spartina_alterniflora,,*both parents are 6x 
Stephanomeria_elata,Stephanomeria_exigua_subsp_deanei,Stephanomeria_virgata,,
Thinopyrum_junceum,Thinopyrum_elongatum,Thinopyrum_junceiforme,,*T.junceiforme is 4x
Thinopyrum_distichum,Thinopyrum_elongatum,NA,,
Tragopogon_castellanus,Tragopogon_lamottei,Tragopogon_crocifolius,,
Triticum_turgidum,Triticum_urartu,NA,,
Triticum_aestivum,Triticum_turgidum,Aegilops_tauschii,,*t. turgidum is 4x
Turnera_cuneiformis,Turnera_orientalis,NA,,* T orientalis is 6x
Viola_lactea,Viola_stagnina,NA,,
Viola_pumila,Viola_stagnina,NA,,
